domain_component	definition	source_condition	compressed_condition	transfer_rule	proof_requirement	failure_effect	current_status	caveat
source_motif_status_domain	The status predicate domain before replacing canonical motif M.	W normal;status predicate defined over source motif roles	none yet	source side fixed	status dependency extraction on M	status comparison cannot be formed	proof_sketch_ready	Source domain alone does not prove compressed-domain compatibility.
compressed_motif_status_domain	The status predicate domain after W_comp=normalize(rewrite(W,M,M_comp)).	rewrite accepted	W_comp status inputs indexed by compressed motif roles	compressed status domain after rewrite and normalization	compressed-domain construction	ill-formed compressed status becomes named blocker	proof_sketch_ready	Compressed domain may be refined rather than identical.
motif_domain_projection	The map from source motif status inputs to compressed motif status inputs.	status/certificate roles of M are visible	roles of M_comp are visible	push status dependencies through motif rewrite	role-map compatibility	domain projection blocker	proof_ready_open	Not implied by payload congruence.
motif_domain_quotient_refinement	Compression may identify, remove, or refine motif roles without coordinate quotienting.	accepted lower-rank motif relation	compressed roles are lower-rank representatives	domain refinement, not coordinate equivalence quotient	motif-role status refinement lemma	status-domain refinement blocker	proof_ready_open	Separate from contract-equivalent coordinate quotient.
domain_preserved_case	Status domain is unchanged up to canonical motif relabeling.	status dependencies are motif-rewrite invariant	W_comp status inputs match source roles	status preservation branch	domain equivalence plus normal form	route to domain-refined or blocker branch	proof_sketch_ready	Conditional only.
domain_refined_case	Compression changes status representation but leaves a valid reduced status domain.	accepted compression is nontrivial	W_comp status is valid reduced obstruction	reduction branch	valid reduced compressed-status theorem	reduction branch blocked	proof_sketch_ready	Uses lexicographic measure decrease, not preservation.
domain_lost_case	The compressed status domain cannot be compared with the source domain.	status roles are not preserved/refined	W_comp exits comparable status domain	no preservation claim	named failure classification	named canonical-compression status-domain blocker	proved_under_current_scope_as_partition	Classification only.
domain_escape_case	Domain failure remains after operation-local proof attempts.	operation blockers remain	no true irreducible higher-support witness established	defer higher support until operation proofs close	higher-support bound later	deferred higher-support escape	higher_support_deferred	No support9+ scan.
canonical_motif_rank_relation	Accepted compression decreases motif rank when support size is fixed.	rank(M)>rank(M_comp)	support size fixed or smaller	measure branch, not status-domain proof	keep rank decrease separate from status congruence	measure proof cannot be used as status preservation	proved_under_current_scope_for_measure_only	Do not promote measure decrease to status congruence.
normal_form_relation	Status-domain transfer requires compressed normal-form eligibility.	rewrite(W,M,M_comp) defined	W_comp normalized	normal form gates status predicate applicability	normal-form transfer proof	status-domain transfer blocked	proof_ready_normal_form_open	Separate first-class obligation.
payload_refinement_relation	Payload refinement feeds domain transfer but does not imply it.	payload roles compatible in accepted motif rewrite	compressed motif has payload carrier	payload side of motif rewrite	motif payload transfer through normalization	status may still fail	proof_sketch_ready	Payload congruence and status-domain congruence are distinct.
counterexample_status_predicate_relation	Counterexample-status congruence follows only after payload, domain, and normal-form transfer plus predicate determination.	all transfer premises hold	W and W_comp comparable	predicate equality/refinement	canonical-motif counterexample-status congruence theorem	status congruence blocked	blocked_by_counterexample_status	No proof-completed promotion.
